MED_DIRECTIONS,FREQUENCY
75mg 1 tab by mouth daily,1719
(Also Known As Diovan) 1 tablet by mouth daily,1719
Take 10 mg by mouth daily.,1712
5mg by mouth twice daily,1708
50 MG TWICE DAILY,1707
(Also Known As Macrobid) 1 capsule by mouth twice a day for 5 days,1707
40 mg 1 Tab Daily,1701
20mg by mouth at bedtime,1701
2 tablets by mouth twice a day for 10 days,1700
81 mg 1 tablet by mouth once daily ,1692
1 capsule by mouth three times a day for 10 days as needed for cough,1689
200mg twice daily,1689
(Also Known As K-Tab) 1 tablet by mouth daily,1688
inhale 2 puffs by inhalation route 2 times per day in the morning and evening,1687
200mg once daily,1686
8 tablets by mouth every week,1685
10mg by mouth once a day,1685
1 tablet twice daily,1679
(Also Known As Pamelor) 2 capsules by mouth every evening at bedtime,1678
(Also Known As Minocin) 1 capsule by mouth twice a day,1677
12.5mg by mouth daily,1673
325mg once daily,1673
1 mg orally once daily,1670
1 tablet by mouth at the first sign of symptoms as needed for headache,1665
1 capsule by mouth every week for 12 weeks,1663
600mg twice daily,1663
(Also Known As Zofran) 1 tablet by mouth every 8 hours as needed for nausea,1660
10 mg 1 tablet daily,1660
?mg 1 tab by mouth daily,1658
150mg once daily,1657
25mg 1 tablet by mouth twice daily,1657
by mouth as needed for pain,1654
(Also Known As Arava) 1 tablet by mouth daily,1654
apply sparingly and rub gently into the affected area(s) by topical route 2 times per day,1651
81mg 1 tab po daily,1649
(Also Known As Zoloft) 2 tablets by mouth daily,1649
1 capsule by mouth every 12 hours for 7 days,1649
"1 application TOPICAL twice daily, at 10:00 and 18:00",1647
600 MG orally every 6 hours,1642
100 mg orally twice daily as needed,1634
(Also Known As Amaryl) 1 tablet by mouth twice a day,1632
1tablet oral daily,1630
50mg one tablet by mouth daily,1630
(Also Known As Roxicodone) 1 tablet by mouth every 6 hours for 5 days as needed for pain,1626
(Also Known As Risperdal) 1 tablet by mouth every evening at bedtime,1623
16 G orally as needed,1623
500 mg once daily,1619
50mcg by mouth daily,1618
apply a small amount to the affected area by topical route 3 times per day for 7 days,1616
1 tablet by mouth every 8 hours for 5 days,1615
5mg by mouth once daily,1614
1 puf for inhalation every twelve hours ,1610
(Also Known As Cosopt) 1 drop in both eyes twice a day,1608
1 tablet by mouth every 6 hours for 5 days as needed for nausea,1608
1 tablet by mouth every 8 hours as needed for muscle spasms,1607
300mg twice daily,1606
40 mg by mouth twice daily,1606
81mg once daily by mouth,1599
(Also Known As Sarafem) 1 tablet by mouth daily,1596
10 mg twice daily,1594
(Also Known As Klonopin) 1 tablet by mouth every evening at bedtime,1591
180mg by mouth daily,1590
25mg one tablet by mouth daily,1587
20 mg one orally daily,1587
"Use to test for urine ketones when ill, or blood sugars are running high.",1583
(Also Known As Femara) 1 tablet by mouth daily,1579
(Also Known As CellCept) 2 tablets by mouth twice a day,1577
1 drop in eyes as directed three times a day for 7 days,1575
"take 17 gram mixed with 8 oz. water, juice, soda, coffee or tea by oral route once daily",1575
600mg by mouth twice daily,1570
1 capsule by mouth three times a day for 10 days,1567
1 tablet by mouth once a day,1565
(Also Known As Lamisil) 1 tablet by mouth daily,1560
10mg tablet by mouth daily,1556
"take 1 tablet (50 mg) by oral route once with fluids as early as possible after the onset of a migraine attack;may repeat after 2 hours if headache returns, not to exceed 200mg in 24hrs",1554
1 tablet by mouth every evening at bedtime for 30 day(s),1554
1 tab orally every 3 hours as needed,1553
100mg 1 po daily,1553
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 2 days as needed for nausea,1548
2mg by mouth daily,1544
Apply to affected area twice a day,1543
81 mg every morning  for until discontinued,1539
81mg one tab by mouth daily,1537
one tablet po daily,1536
1000 mg 1 tablet by mouth daily,1531
(Also Known As Wellbutrin SR) 1 tablet by mouth daily,1531
20 mg 1 tablet once daily,1530
1000IU by mouth daily,1529
(Also Known As Catapres) 1 tablet by mouth twice a day,1528
20 mg tablet by mouth daily,1527
100 mg orally every twelve hours,1526
"take 1 packet (17 gram) mixed with 8 oz. water, juice, soda, coffee or tea by oral route once daily",1526
20 MG orally twice daily,1523
take 1 tablet (100 mg) by oral route once daily as needed approximately 1 hour before sexual activity,1522
20mg 1 tab daily by mouth,1521
81 mg daily by mouth,1518
1000mg 1 tab by mouth daily,1518
4mg by mouth daily,1517
2000IU by mouth daily,1517
injection monthly,1517
100mg daily by mouth,1517
3 capsules by mouth daily,1516
81 mg once daily by mouth,1516
take by mouth daily,1513
(Motrin) 1 tablet by mouth every 6 hours as needed for pain,1510
(Also Known As Norco) 1 tablet by mouth every 6 hours for 5 days as needed for pain,1508
1.5 tablets by mouth twice a day,1506
(Also Known As Diovan HCT) 1 tablet by mouth daily,1502
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours as needed for pain,1501
5 mg by mouth once daily,1500
20mg one tablet daily,1499
80MG 1 tablet by mouth daily,1497
20 mg once a day,1497
(Also Known As Glucophage XR) 1 tablet by mouth twice a day,1493
80 mg by mouth daily,1492
81mg orally daily,1491
40 mg twice daily,1491
2.5 milliliters (2.5 mg) by mouth daily,1490
10 milliliters (10 mg) by mouth daily,1490
1 tablet by mouth every 8 hours as needed,1488
20mg one tab by mouth daily,1486
2 tablets by mouth every morning,1485
1 drop in both eyes twice a day for 90 days,1483
(Also Known As Cleocin) 1 capsule by mouth every 6 hours for 7 days,1481
1 tablet by mouth daily for 3 months,1481
(Also Known As Lotensin) 1 tablet by mouth daily,1479
0.5 gram into the vagina as directed twice a week,1478
40mg 1 tab daily by mouth,1478
2.5 mg by mouth daily,1475
81 mg one orally daily,1472
(Also Known As Glucophage) 2 tablets by mouth twice a day,1472
50 mg orally every twelve hours,1468
Take 1 tablet by mouth every 6 hours as needed for nausea and vomiting.,1468
50mg 1 tablet by mouth twice daily,1467
10 mg daily by mouth,1464
(Also Known As Neurontin) 1 capsule by mouth every 8 hours for 14 days,1464
(Also Known As Vitamin B-12) 1 milliliter (1000 mcg) intramuscularly every month,1457
10mg 1 tablet by mouth as needed,1456
1 tablet by mouth twice a day as needed for muscle spasms,1447
17 gram by mouth twice a day,1446
10 mg one orally daily,1446
75 mg 1 tablet by mouth daily,1444
10 mg oral daily,1444
81mg tablet by mouth daily,1442
as directed daily,1441
2000 IU by mouth daily,1439
"1 tab orally once daily, in the morning",1438
1 puffs from the inhaler twice a day,1437
(Also Known As Roxicodone) 1 tablet by mouth every 6 hours for 3 days as needed for pain,1437
by mouth twice a day,1434
"apply (thoroughly massage into skin from head to soles of feet) by topical route once leave on for 8-14 hr, then remove by thorough washing",1433
81 mg one tab by mouth daily,1432
81 mg orally daily,1432
2 puffs inhalation with spacer twice a day,1431
81mg 1 tab daily,1430
"40 mg orally once daily, in the morning",1429
"81mg orally once daily, in the morning",1429
one pill by mouth daily,1428
(Also Known As Tenormin) 1 tablet by mouth twice a day,1428
1 spray in each nostril daily for 30 day(s),1425
"(Also Known As Nicoderm CQ) 1 patch on dry, cleaned skin daily",1425
4 MG IV every 6 hours as needed,1421
10 mg by mouth at bedtime,1421
(Also Known As Bactrim DS) 1 tablet by mouth every 12 hours for 10 days,1417
(Also Known As Vasotec) 1 tablet by mouth daily,1414
20 mg 1 tablet daily,1413
(Also Known As Prozac) 1 capsule by mouth every morning,1413
2 puffs from the inhaler four times a day as needed,1412
1 MG orally daily,1412
1 APPLICATION TOPICAL twice daily,1410
10 mg by mouth as needed,1406
40mg by mouth once a day,1400
10 mg by mouth twice daily,1400
(Zocor) 1 tablet by mouth every evening at bedtime,1399
one tab daily by mouth,1399
(Also Known As Keflex) 1 capsule by mouth every 6 hours for 7 days,1397
40 mg 1 tablet once daily,1394
81mg 1 tablet daily,1394
1 tablet by mouth every four or six hours as needed for pain,1393
(Also Known As Avapro) 1 tablet by mouth daily,1389
(Norvasc) 1 tablet by mouth daily,1386
4 drops in each affected ear every 12 hours for 7 days,1385
by mouth as need,1381
as needed in both eyes,1378
"6 MG orally at bedtime, as needed",1376
10 mg tablet 1 tablet by mouth daily,1371
(Celexa) 1 tablet by mouth daily,1369
(Also Known As Xanax) 1 tablet by mouth daily as needed for anxiety,1368
1 tablet by mouth four times a day as needed for pain,1368
(Also Known As Mobic) 1 tablet by mouth daily for 30 day(s),1368
1000mcg by mouth daily,1365
5 mg 1 tab by mouth daily,1364
2 tablets by mouth one time only,1364
test BG 6x per day,1363
2 tablets by mouth twice a day for 14 days as needed for constipation,1361
1 tablet by mouth every 12 hours for 14 days,1361
1 tablet by mouth every 12 hours as needed for pain,1361
one tablet by mouth every day,1359
20mg 1 capsule by mouth daily,1359
0.4 mg by mouth daily,1358
1 capsule by mouth daily for 14 days,1355
300mg by mouth twice daily,1352
once daily orally,1352
1 tablet by mouth every 6 hours for 5 days as needed,1349
(Lasix) 1 tablet by mouth daily,1348
25 MG orally daily,1347
20mg by mouth once a day,1347
(Also Known As Wellbutrin SR) 1 tablet by mouth twice a day,1345
40mg one tablet daily,1341
500mg twice a day,1340
3 tablets by mouth every evening at bedtime,1339
1000 iu by mouth daily,1339
Take 20 mg by mouth daily.,1339
(Also Known As Inderal LA) 1 capsule by mouth daily,1338
1 puff twice daily,1338
(Also Known As Wellbutrin XL) 1 tablet by mouth every morning,1338
(Also Known As Zovirax) 1 tablet by mouth twice a day,1337
one tablet by mouth per day,1336
20mg tablet by mouth daily,1335
(Also Known As Lofibra) 1 tablet by mouth daily,1335
1 APPLICATION TOPICAL DAILY,1335
20mg 1 tablet by mouth twice daily,1334
(Also Known As Aldactone) 0.5 tablet by mouth daily,1332
1 tab. by mouth daily,1331
10mg by mouth daily as needed,1328
25mg daily by mouth,1327
0.5mg by mouth daily,1325
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 3 days as needed for pain,1325
(Also Known As Xalatan) 1 drop in both eyes every evening at bedtime for 90 days,1323
(Also Known As Pacerone) 1 tablet by mouth daily,1322
1 tablet by mouth at bedtime,1321
20 mg daily by mouth,1320
1 tablet by mouth every 6 hours for 7 days as needed for nausea,1319
20 MG orally at bedtime,1316
(Also Known As Imdur) 1 tablet by mouth daily,1315
200mg by mouth twice daily,1314
40 MG orally at bedtime,1314
nasal spray daily,1312
40mg one tab by mouth daily,1309
1 drop in both eyes every evening at bedtime for 90 days,1308
(Also Known As Ceftin) 1 tablet by mouth twice a day for 10 days,1308
100mcg by mouth daily,1308
40 mg tablet by mouth daily,1307
(Also Known As Norvasc) 1 tablet by mouth twice a day,1307
2 tablets by mouth as needed,1305
                 1 tablet by mouth daily               ,1304
(Also Known As Bactrim DS) 1 tablet by mouth twice a day for 5 days,1304
apply to affected areas twice daily,1303
300 mg orally every 8 hours,1303
(Also Known As Neurontin) 3 capsules by mouth three times a day,1296
50mg daily by mouth,1296
10mg take one tablet daily,1294
20 mg 1 tablet by mouth once daily,1293
20 mg orally every twelve hours,1292
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 14 days,1292
(Also Known As Coreg) 1 tablet by mouth every 12 hours,1292
40mg tablet by mouth daily,1291
1 drop in both eyes daily,1290
100mg 1 tablet by mouth twice daily,1286
100 mg by mouth once daily,1284
1000 mg once daily,1282
10mg tab by mouth daily,1282
2 spray in each nostril daily for 30 day(s),1282
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 10 days as needed for pain,1278
1 spray in each nostril twice a day for 30 day(s),1278
1 tablet by mouth every evening at bedtime as needed for muscle spasms,1277
take 1 tablet daily,1277
2 gummies by mouth daily,1272
2 puffs from the inhaler four times a day as needed for wheezing,1272
(Also Known As Verelan) 1 capsule by mouth daily,1272
50 MG orally daily,1269
(Also Known As Procardia XL) 1 tablet by mouth daily,1268
1 tab twice daily,1268
50mcg 1 tablet by mouth daily,1268
1 tablet by mouth every 6 hours for 3 days as needed,1265
40 mg 1 tablet by mouth once daily,1265
apply to the affected area(s) by topical route 2 times per day in the morning and evening,1265
500 mg 1 tablet by mouth twice daily,1261
(Also Known As Lasix) 1 tablet by mouth every morning,1260
1 prep by mouth one time only,1259
75 mg orally daily,1258
apply a thin layer to the affected area(s) by topical route once daily,1252
40 mg once a day,1251
200mg by mouth as needed,1247
(Also Known As Roxicodone) 1 tablet by mouth every 6 hours for 7 days as needed for pain,1246
1 tablet by mouth every 8 hours for 10 days,1245
30 mg orally once daily,1243
(Also Known As Ultram) 1 tablet by mouth every 8 hours as needed for pain,1243
1 capsule by mouth twice a day for 10 days as needed for constipation,1242
0.5 tablet by mouth every 12 hours,1242
1 by mouth daily.,1242
?mg orally daily,1242
(Also Known As Percocet) 1 tablet by mouth every 4 hours as needed for pain,1241
(Also Known As Calan SR) 1 tablet by mouth daily,1241
2 tablet twice daily,1241
500mg 1 tab by mouth twice daily,1241
(Also Known As Neurontin) 2 capsules by mouth every evening at bedtime,1241
12.5 milliliters (1000 mg) by mouth daily for 10 days,1240
81 mg 1 tablet once daily,1240
1000mg daily by mouth,1240
1 milliliter (50 mg) subcutaneously every week,1239
(Also Known As Lamictal) 1 tablet by mouth daily,1238
1 capsule by mouth once daily,1235
1 tablet daily for until discontinued,1235
apply twice a day,1234
apply a thin layer to the affected area(s) by topical route 2 times per day ; rub in gently and completely,1234
30mg 1 tab by mouth daily,1233
81 mg 1 tab daily,1233
5 mg one by mouth daily,1233
2 puffs twice a day,1232
(Also Known As Vitamin D2) 1 capsule by mouth every week for 8 weeks,1231
1 spray in the nose twice a day,1228
(Zoloft) 1 tablet by mouth daily,1227
(Also Known As Glucotrol) 1 tablet by mouth twice a day,1225
1000mg 1 tablet by mouth twice daily,1224
"Give as directed in the event of severe, unresponsive low blood sugar. One for home, one for school.",1223
75mcg by mouth daily,1221
3 tablets by mouth daily for 5 days,1219
1 cap by mouth daily,1218
9 milliliters (720 mg) by mouth twice a day for 10 days,1216
600mg 1 tablet by mouth daily,1216
40 mg daily by mouth,1214
once a day by mouth,1213
40 mg 1 tablet daily,1211
1 tablet by mouth every 8 hours for 14 days as needed for pain,1211
x mg by mouth once daily,1209
500mg one tablet by mouth daily,1207
10mg 1 tablet by mouth daily as needed,1206
5mg once daily by mouth,1205
400mg 1 tablet by mouth daily,1205
(Also Known As Zyloprim) 2 tablets by mouth daily,1205
apply to the affected area(s) by topical route once daily,1204
150 mg by mouth twice daily,1203
20 mg at bedtime,1202
(Also Known As Xanax) 1 tablet by mouth twice a day as needed for anxiety,1202
(Also Known As Norco) 1 tablet by mouth every 4 hours for 5 days as needed for pain,1200
5 mg twice daily,1200
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 10 days,1200
1 tablet by mouth three times a day for 10 days as needed for pain,1200
20 mg oral daily ,1199
12.5 mg orally every twelve hours,1199
4 test strips miscellaneous daily,1198
(Also Known As Flonase) 2 spray in each nostril twice a day,1197
25mg by mouth once daily,1197
